energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre,popularity_group,release_year,duration_min
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3.0,0.0304,100,Die With A Smile,Today's Top Hits,Die With A Smile,2024-08-16,0.0,0.0,6.0,251668.0,0.308,mainstream,High,2024.0,4.194466666666667
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4.0,0.0358,97,HIT ME HARD AND SOFT,Today's Top Hits,BIRDS OF A FEATHER,2024-05-17,0.0608,1.0,2.0,210373.0,0.2,mainstream,High,2024.0,3.5062166666666665
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4.0,0.0368,93,The Secret of Us (Deluxe),Today's Top Hits,That’s So True,2024-10-18,0.0,1.0,1.0,166300.0,0.214,mainstream,High,2024.0,2.7716666666666665
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4.0,0.0634,81,Short n' Sweet,Today's Top Hits,Taste,2024-08-23,0.0,0.0,0.0,157280.0,0.0939,mainstream,High,2024.0,2.6213333333333333
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4.0,0.26,98,APT.,Today's Top Hits,APT.,2024-10-18,0.0,0.0,0.0,169917.0,0.0283,mainstream,High,2024.0,2.83195
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4.0,0.0356,94,"Good Luck, Babe!",Today's Top Hits,"Good Luck, Babe!",2024-04-05,0.0,0.0,11.0,218424.0,0.0502,mainstream,High,2024.0,3.6404
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4.0,0.0411,88,Diet Pepsi,Today's Top Hits,Diet Pepsi,2024-08-09,0.00962,1.0,10.0,169698.0,0.495,mainstream,High,2024.0,2.8283
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4.0,0.0431,93,HIT ME HARD AND SOFT,Today's Top Hits,WILDFLOWER,2024-05-17,0.000271,0.0,6.0,261467.0,0.612,mainstream,High,2024.0,4.357783333333333
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4.0,0.0254,71,Sailor Song,Today's Top Hits,Sailor Song,2024-07-26,8.61e-05,1.0,11.0,211979.0,0.686,mainstream,High,2024.0,3.532983333333333
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4.0,0.0507,92,Timeless,Today's Top Hits,Timeless (with Playboi Carti),2024-09-27,2.56e-06,0.0,11.0,256000.0,0.0584,mainstream,High,2024.0,4.266666666666667
